Unnamed: 0,track_id,track_name,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_id,album_name,album_image,main_artist_id,artist,genres
390,5juCu4WFTFRZ2XilopAMTy,Bam Yang Gang,76,2024-02-13,0.455,0.408,6,-8.72,0,0.0642,0.771,6.55e-05,0.0958,0.743,178.047,146197,4QJZzFdGz2YlPZEHAlAJ6O,Bam Yang Gang,https://i.scdn.co/image/ab67616d0000b273c5543b3cce74f3edafcc8f59,6UbmqUEgjLA6jAcXwbM1Z9,bibi,kpop korean rb
391,3lc6BSosCqVoNddw1izHXj,Siren,68,2024-04-03,0.803,0.825,1,-2.929,1,0.0647,0.00102,7.11e-06,0.131,0.677,104.945,147961,7J5utMSMvsvlTzqeF1TfQO,Siren,https://i.scdn.co/image/ab67616d0000b2739a705e5176594834ff52ca04,2jOm3cYujQx6o1dxuiuqaX,riize,5th gen kpop
392,1kcwpPDQnqEqmezzXdJTCP,imgonnagetyouback,88,2024-04-19,0.784,0.391,9,-9.471,1,0.0633,0.608,0.0,0.252,0.15,110.007,222072,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
393,62E2nR0od0M5HYxuYLaDz7,The Black Dog,88,2024-04-19,0.527,0.27,0,-10.855,1,0.038,0.707,0.0,0.102,0.23,154.042,238857,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
394,2h3MDMf8sd9s4XIzpTBIjX,I Can Fix Him (No Really I Can),80,2024-04-18,0.661,0.257,6,-13.961,0,0.045,0.768,1.72e-06,0.176,0.318,106.896,156297,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
395,1P6VBsrhfvppwFV6Ae4Odr,Popcorn,63,2024-04-30,0.656,0.48,2,-7.156,1,0.0552,0.318,0.0,0.0917,0.402,132.043,181320,39wNc1K12lwDVTggfonvUv,Popcorn,https://i.scdn.co/image/ab67616d0000b27304c578f5f24e26a0b6c9d903,2CQZr2RPZmrcvDnaod1ldC,do,kpop
396,1UlhrRvYzbHEyugEDspXUB,Clara Bow,79,2024-04-18,0.686,0.318,7,-11.046,1,0.0263,0.636,0.00144,0.106,0.214,104.088,216662,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
397,18WFFUIsewmA8g31KAeo3e,The Prophecy,88,2024-04-19,0.421,0.525,10,-10.359,1,0.0472,0.825,2.67e-06,0.308,0.535,167.927,249807,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
398,5Bedn0svl0ZD7RGmJkmKKw,How Did It End?,87,2024-04-19,0.476,0.389,0,-8.886,1,0.0263,0.797,0.000915,0.106,0.255,83.664,238706,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
399,4EF6IyONolQy0bIQXm2EmX,The Albatross,87,2024-04-19,0.479,0.48,2,-8.889,1,0.0426,0.68,0.0,0.0949,0.308,171.962,183878,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
